"sample","country","location","year","PC1","PC2","PC3","PC4","PC5"
"ID1-1","Belgium","BLA",1888,-0.0435223427774881,0.00298419015904981,-0.0224944681381215,-0.0120289564073036,0.0123249313305148
"ID1-2","Belgium","BLA",1888,0.0291401839447741,-0.00247500728185906,-0.00808891400004745,-0.00456258886194699,-0.00270904712439034
"ID1-3","Belgium","BLA",1888,0.0202059406787836,0.015398738048898,-0.0281643212233164,-0.0110970676990332,0.0024101495345655
"ID1-4","Belgium","BLA",1888,0.0291073068696744,0.0236007116873288,-0.00505426936981588,0.00260884720508823,0.00887323423436089
"ID1-5","Belgium","BLA",1888,-0.067575599783601,-0.0262809726427082,0.00577636543812528,0.0122976200376475,-0.0182516817376474
"ID1-6","Belgium","BLA",1888,-0.0159759189536019,0.0060683487827636,-0.0214045207804975,-0.0118374053787287,0.014949636630509
"ID2-1","Netherland","ZOU",1904,0.0727648749476428,-0.0333656510787478,0.016633188523529,-0.0174396521277236,0.0223081937809802
"ID2-2","Netherland","ZOU",1904,-0.0152515384948057,-0.00492671231941814,-0.0105235074439783,-0.0010592672230619,-0.0102022500198351
"ID2-3","Netherland","ZOU",1904,-0.0274445650657989,-0.00324314974091999,-0.0332129162876059,-0.00322572692091878,0.00968487712781882
"ID2-4","Netherland","ZOU",1904,0.0173837070057765,0.0291363615303197,0.00642009863796131,-0.00719073041093837,0.00112311431919199
"ID2-5","Netherland","ZOU",1904,0.018044921101156,0.00153651649542088,0.00616045055611949,-0.00340681724444745,-0.00647057167994731
"ID2-6","Netherland","ZOU",1904,-0.0117442903045397,0.00104271314704005,0.010987380397094,0.00802351109209591,-0.00162704775069741
"ID2-7","Netherland","ZOU",1904,-0.0273601835846175,0.00994628041066586,-0.0184046395766263,-0.00540788648194304,-0.00182611330325626
"ID2-8","Netherland","ZOU",1904,0.000642436289748897,0.00255335513839115,0.00362622107215714,-0.00112770338621233,0.0100077901012647
"ID2-9","Netherland","ZOU",1904,0.0141865299127654,0.0276249387113063,-0.0152812439623999,0.00453874610236778,-0.0199891952341307
"ID2-10","Netherland","ZOU",1904,0.0112976876689184,0.00714128200523964,-0.00904277807484177,-0.0085386482341895,-0.0157753664651458
"ID3-1","Netherland","ZWA",1911,0.0176098765771225,-0.00598762542904016,0.008059115393806,-0.0254108539772316,0.00576064719939584
"ID3-2","Netherland","ZWA",1911,-0.0424265023802219,-0.0167702989684713,0.00484261763380914,0.010198373965261,-0.00353311693147854
"ID3-3","Netherland","ZWA",1911,-0.00542243260334222,0.00886512460039472,0.0143001159902345,0.00634447164920163,-0.010851174805552
"ID3-4","Netherland","ZWA",1911,-0.043463495172144,0.00732843696878293,-0.0041114554117973,0.00690004137710146,0.00555153249487507
"ID3-5","Netherland","ZWA",1911,-0.0281017591283717,-0.00945060487768724,0.0123703582805955,-0.0016356475916945,0.0069294131628705
"ID3-6","Netherland","ZWA",1911,-0.00116293278946516,0.0209880230381871,0.0156065747793611,-0.00454632648706112,0.00992472911839323
"ID3-7","Netherland","ZWA",1911,-0.0194723433563942,0.0346245185167856,0.0140647252104003,-0.00210462763818883,-0.00773380056747866
"ID3-8","Netherland","ZWA",1911,0.00692854922104428,-0.00169186075657247,0.00857063140564646,-0.00223796624002108,-0.0153490928097359
"ID3-9","Netherland","ZWA",1911,-0.0106552212512399,0.00863085159074998,0.0136564624487465,-0.00186182645777892,0.00735677550872987
"ID3-10","Netherland","ZWA",1911,-0.0119532209587812,-0.00711777562879849,-0.00506861888220143,0.00460679301521746,0.00534333561304668
"ID4-1","Belgium","ZEE",1911,-0.0232139324464883,0.0158827512751136,-0.00833299097934521,-0.0162114076552214,0.000645611345824482
"ID4-2","Belgium","ZEE",1911,0.0144562873614104,-0.0242688858474837,-0.0111323812412362,-0.0096508754678599,0.000273140489482692
"ID7-1","Belgium","KNO",1928,0.00206716352546168,0.0174684367740121,0.0160643067670878,-0.00426537650348907,-0.00596080228713228
"ID7-2","Belgium","KNO",1928,0.0158511507638755,0.00497829545332832,-0.0071830354228945,0.0124380480823699,0.0131475317530462
"ID7-3","Belgium","KNO",1928,-0.011004693038392,-0.00943920059274363,0.00179975047183139,0.0154474903823013,0.00708678561132956
"ID7-4","Belgium","KNO",1928,0.00977267435320472,-0.0218806865426981,-0.00616312723308666,0.00358118406765761,-0.0118904370860063
"ID7-5","Belgium","KNO",1928,-0.00295646891840093,-0.0107737977457793,0.00838717122487008,0.00240984141930548,0.00368792561606506
"ID8-1","Belgium","ZEE",1929,0.0204680263514763,-0.0117377239396046,0.0075596248474659,0.0152890136133998,0.00207111421849721
"ID8-2","Belgium","ZEE",1929,0.007690520283966,-0.00519803373414943,0.0170052769000651,-0.00179905505199365,-0.00963235669109713
"ID8-3","Belgium","ZEE",1929,0.0357747735104112,0.00557950481628244,-0.0134278704199527,0.00399960415606986,-0.00576428062764338
"ID8-4","Belgium","ZEE",1929,-0.0183085419652839,0.00911185095421496,0.0123314423089477,0.0225094504182781,0.00581584608453499
"ID8-5","Belgium","ZEE",1929,0.00840899059544389,-0.00812623718357563,0.0155903480490926,-0.00521523806539535,-0.0051179192789451
"ID9-1","Belgium","ZEE",1929,0.0520362831322811,-0.00813698981922124,-0.0102812567076946,0.00496768703198674,0.00421867792324776
"ID9-2","Belgium","ZEE",1929,-0.00359307026420264,0.0244523687314062,-0.0144398868035594,0.0106246550032969,-0.00492864665714271
"ID10-1","Belgium","KNO",1932,0.010556148340014,-0.0137026162029481,-0.00134415105915459,0.0218648396574916,-0.00543218170394955
"ID10-2","Belgium","KNO",1932,0.0204080467989098,-0.0232759042501692,0.00228350111410645,0.00699485832985548,0.01089333956547
"ID10-3","Belgium","KNO",1932,0.012307793243913,-0.011828300001403,0.0111562929493596,0.00388208249350085,0.0104656748394984
"ID10-4","Belgium","KNO",1932,0.0338487069410433,0.0593264234923341,-0.0103090307596983,0.00600061335467113,0.014508637633867
"ID10-5","Belgium","KNO",1932,-0.00235670460134813,-0.00901114995599113,0.0289429386087007,0.00737694880149884,-0.00750056514141637
"ID10-6","Belgium","KNO",1932,-0.0107774347981301,0.0110788538521108,-0.0135573317964679,-2.81452451017781e-05,0.0115627036742006
